"Cloudlet ID","STATUS","Data center ID","VM ID","Time","Start Time","Finish Time","user id"
"4","SUCCESS","2","4","1.36","0.1","1.46","4"
"2","SUCCESS","2","2","1.54","0.1","1.64","4"
"3","SUCCESS","2","3","1.65","0.1","1.75","4"
"0","SUCCESS","2","0","1.78","0.1","1.88","4"
"5","SUCCESS","2","4","2.03","1.46","3.49","4"
"8","SUCCESS","2","0","1.72","1.88","3.6","4"
"7","SUCCESS","2","3","2.29","1.75","4.04","4"
"6","SUCCESS","2","2","3.09","1.64","4.73","4"
"9","SUCCESS","2","4","2.1","3.49","5.59","4"
"1","SUCCESS","2","1","6.46","0.1","6.56","4"
"12","SUCCESS","2","2","2.36","4.73","7.08","4"
"13","SUCCESS","2","4","1.84","5.59","7.43","4"
"10","SUCCESS","2","0","3.97","3.6","7.57","4"
"11","SUCCESS","2","3","3.64","4.04","7.68","4"
"15","SUCCESS","2","2","1.67","7.08","8.75","4"
"16","SUCCESS","2","4","1.44","7.43","8.87","4"
"20","SUCCESS","2","4","1.1","8.87","9.97","4"
"17","SUCCESS","2","0","3.15","7.57","10.72","4"
"18","SUCCESS","2","3","3.52","7.68","11.2","4"
"19","SUCCESS","2","2","2.56","8.75","11.31","4"
"14","SUCCESS","2","1","5.65","6.56","12.2","4"
"21","SUCCESS","2","4","2.8","9.97","12.77","4"
"22","SUCCESS","2","0","2.63","10.72","13.35","4"
"24","SUCCESS","2","2","2.18","11.31","13.5","4"
"26","SUCCESS","2","4","1.17","12.77","13.95","4"
"23","SUCCESS","2","3","2.99","11.2","14.19","4"
"28","SUCCESS","2","2","1.94","13.5","15.44","4"
"27","SUCCESS","2","0","2.37","13.35","15.72","4"
"29","SUCCESS","2","4","2.82","13.95","16.77","4"
"25","SUCCESS","2","1","4.91","12.2","17.11","4"
