"Cloudlet ID","STATUS","Data center ID","VM ID","Time","Start Time","Finish Time","user id"
"4","SUCCESS","2","4","1.36","0.1","1.46","4"
"2","SUCCESS","2","2","1.54","0.1","1.64","4"
"3","SUCCESS","2","3","1.65","0.1","1.75","4"
"0","SUCCESS","2","0","1.78","0.1","1.88","4"
"8","SUCCESS","2","3","1.52","1.75","3.27","4"
"9","SUCCESS","2","4","2.09","1.46","3.55","4"
"7","SUCCESS","2","2","2.13","1.64","3.77","4"
"5","SUCCESS","2","0","2.68","1.88","4.56","4"
"13","SUCCESS","2","3","2.23","3.27","5.5","4"
"14","SUCCESS","2","4","2.55","3.55","6.11","4"
"12","SUCCESS","2","2","2.45","3.77","6.22","4"
"1","SUCCESS","2","1","6.46","0.1","6.56","4"
"19","SUCCESS","2","4","2.26","6.11","8.36","4"
"10","SUCCESS","2","0","3.97","4.56","8.53","4"
"17","SUCCESS","2","2","2.69","6.22","8.9","4"
"18","SUCCESS","2","3","3.52","5.5","9.01","4"
"24","SUCCESS","2","4","1.94","8.36","10.3","4"
"15","SUCCESS","2","0","1.96","8.53","10.49","4"
"22","SUCCESS","2","2","2.24","8.9","11.14","4"
"20","SUCCESS","2","0","1.46","10.49","11.94","4"
"23","SUCCESS","2","3","3.04","9.01","12.05","4"
"6","SUCCESS","2","1","6.07","6.56","12.63","4"
"29","SUCCESS","2","4","2.82","10.3","13.12","4"
"27","SUCCESS","2","2","2.09","11.14","13.23","4"
"28","SUCCESS","2","3","2.09","12.05","14.15","4"
"25","SUCCESS","2","0","2.93","11.94","14.87","4"
"11","SUCCESS","2","1","6.48","12.63","19.11","4"
"16","SUCCESS","2","1","3.2","19.11","22.31","4"
"21","SUCCESS","2","1","6.2","22.31","28.51","4"
"26","SUCCESS","2","1","2.6","28.51","31.11","4"
