"Cloudlet","","Vertual Machine","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load",""
"","","","","713","","","425","","","836","","","775","","","941","",""
"CL = 0"," -> ","VM = 0","","1270.0","1.7812061711079943","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0",""
"CL = 1"," -> ","VM = 1","","1270.0","1.7812061711079943","","2744.0","6.456470588235294","","0.0","0.0","","0.0","0.0","","0.0","0.0",""
"CL = 2"," -> ","VM = 2","","1270.0","1.7812061711079943","","2744.0","6.456470588235294","","1288.0","1.5406698564593302","","0.0","0.0","","0.0","0.0",""
"CL = 3"," -> ","VM = 3","","1270.0","1.7812061711079943","","2744.0","6.456470588235294","","1288.0","1.5406698564593302","","1210.0","1.5612903225806452","","0.0","0.0",""
"CL = 4"," -> ","VM = 4","","1270.0","1.7812061711079943","","2744.0","6.456470588235294","","1288.0","1.5406698564593302","","1210.0","1.5612903225806452","","1280.0","1.3602550478214666",""
"CL = 5"," -> ","VM = 4","","1270.0","1.7812061711079943","","2744.0","6.456470588235294","","1288.0","1.5406698564593302","","1210.0","1.5612903225806452","","3194.0","3.394261424017003",""
"CL = 6"," -> ","VM = 2","","1270.0","1.7812061711079943","","2744.0","6.456470588235294","","3870.0","4.6291866028708135","","1210.0","1.5612903225806452","","3194.0","3.394261424017003",""
"CL = 7"," -> ","VM = 3","","1270.0","1.7812061711079943","","2744.0","6.456470588235294","","3870.0","4.6291866028708135","","2989.0","3.8567741935483872","","3194.0","3.394261424017003",""
"CL = 8"," -> ","VM = 0","","2446.0","3.4305750350631135","","2744.0","6.456470588235294","","3870.0","4.6291866028708135","","2989.0","3.8567741935483872","","3194.0","3.394261424017003",""
"CL = 9"," -> ","VM = 4","","2446.0","3.4305750350631135","","2744.0","6.456470588235294","","3870.0","4.6291866028708135","","2989.0","3.8567741935483872","","5166.0","5.48990435706695",""
"CL = 10"," -> ","VM = 0","","5277.0","7.401122019635344","","2744.0","6.456470588235294","","3870.0","4.6291866028708135","","2989.0","3.8567741935483872","","5166.0","5.48990435706695",""
"CL = 11"," -> ","VM = 3","","5277.0","7.401122019635344","","2744.0","6.456470588235294","","3870.0","4.6291866028708135","","5745.0","7.412903225806452","","5166.0","5.48990435706695",""
"CL = 12"," -> ","VM = 2","","5277.0","7.401122019635344","","2744.0","6.456470588235294","","5840.0","6.985645933014354","","5745.0","7.412903225806452","","5166.0","5.48990435706695",""
"CL = 13"," -> ","VM = 4","","5277.0","7.401122019635344","","2744.0","6.456470588235294","","5840.0","6.985645933014354","","5745.0","7.412903225806452","","6895.0","7.3273113708820405",""
"CL = 14"," -> ","VM = 1","","5277.0","7.401122019635344","","5145.0","12.105882352941176","","5840.0","6.985645933014354","","5745.0","7.412903225806452","","6895.0","7.3273113708820405",""
"CL = 15"," -> ","VM = 2","","5277.0","7.401122019635344","","5145.0","12.105882352941176","","7235.0","8.654306220095695","","5745.0","7.412903225806452","","6895.0","7.3273113708820405",""
"CL = 16"," -> ","VM = 4","","5277.0","7.401122019635344","","5145.0","12.105882352941176","","7235.0","8.654306220095695","","5745.0","7.412903225806452","","8253.0","8.770456960680127",""
"CL = 17"," -> ","VM = 0","","7523.0","10.551192145862553","","5145.0","12.105882352941176","","7235.0","8.654306220095695","","5745.0","7.412903225806452","","8253.0","8.770456960680127",""
"CL = 18"," -> ","VM = 3","","7523.0","10.551192145862553","","5145.0","12.105882352941176","","7235.0","8.654306220095695","","8472.0","10.931612903225806","","8253.0","8.770456960680127",""
"CL = 19"," -> ","VM = 2","","7523.0","10.551192145862553","","5145.0","12.105882352941176","","9361.0","11.197368421052632","","8472.0","10.931612903225806","","8253.0","8.770456960680127",""
"CL = 20"," -> ","VM = 4","","7523.0","10.551192145862553","","5145.0","12.105882352941176","","9361.0","11.197368421052632","","8472.0","10.931612903225806","","9292.0","9.874601487778959",""
"CL = 21"," -> ","VM = 4","","7523.0","10.551192145862553","","5145.0","12.105882352941176","","9361.0","11.197368421052632","","8472.0","10.931612903225806","","11927.0","12.67481402763018",""
"CL = 22"," -> ","VM = 0","","9397.0","13.179523141654979","","5145.0","12.105882352941176","","9361.0","11.197368421052632","","8472.0","10.931612903225806","","11927.0","12.67481402763018",""
"CL = 23"," -> ","VM = 3","","9397.0","13.179523141654979","","5145.0","12.105882352941176","","9361.0","11.197368421052632","","10790.0","13.92258064516129","","11927.0","12.67481402763018",""
"CL = 24"," -> ","VM = 2","","9397.0","13.179523141654979","","5145.0","12.105882352941176","","11187.0","13.381578947368421","","10790.0","13.92258064516129","","11927.0","12.67481402763018",""
"CL = 25"," -> ","VM = 1","","9397.0","13.179523141654979","","7232.0","17.016470588235293","","11187.0","13.381578947368421","","10790.0","13.92258064516129","","11927.0","12.67481402763018",""
"CL = 26"," -> ","VM = 4","","9397.0","13.179523141654979","","7232.0","17.016470588235293","","11187.0","13.381578947368421","","10790.0","13.92258064516129","","13032.0","13.849096705632306",""
"CL = 27"," -> ","VM = 0","","11089.0","15.552594670406732","","7232.0","17.016470588235293","","11187.0","13.381578947368421","","10790.0","13.92258064516129","","13032.0","13.849096705632306",""
"CL = 28"," -> ","VM = 2","","11089.0","15.552594670406732","","7232.0","17.016470588235293","","12810.0","15.322966507177034","","10790.0","13.92258064516129","","13032.0","13.849096705632306",""
"CL = 29"," -> ","VM = 4","","11089.0","15.552594670406732","","7232.0","17.016470588235293","","12810.0","15.322966507177034","","10790.0","13.92258064516129","","15686.0","16.669500531349627",""
