"Cloutlet-ID","Algo Wait Time","Round-Robin Wait Time","Algo Execution Time","Round-Robin Execution Time"
"0","0.1","0.1","1.78","1.78"
"1","0.1","0.1","6.46","6.46"
"2","0.1","0.1","1.54","1.54"
"3","0.1","0.1","1.65","1.65"
"4","0.1","0.1","1.36","1.36"
"5","1.46","1.88","2.03","2.68"
"6","1.64","6.56","3.09","6.07"
"7","1.75","1.64","2.29","2.13"
"8","1.88","1.75","1.72","1.52"
"9","3.49","1.46","2.1","2.09"
"10","3.6","4.56","3.97","3.97"
"11","4.04","12.63","3.64","6.48"
"12","4.73","3.77","2.36","2.45"
"13","5.59","3.27","1.84","2.23"
"14","6.56","3.55","5.65","2.55"
"15","7.08","8.53","1.67","1.96"
"16","7.43","19.11","1.44","3.2"
"17","7.57","6.22","3.15","2.69"
"18","7.68","5.5","3.52","3.52"
"19","8.75","6.11","2.56","2.26"
"20","8.87","10.49","1.1","1.46"
"21","9.97","22.31","2.8","6.2"
"22","10.72","8.9","2.63","2.24"
"23","11.2","9.01","2.99","3.04"
"24","11.31","8.36","2.18","1.94"
"25","12.2","11.94","4.91","2.93"
"26","12.77","28.51","1.17","2.6"
"27","13.35","11.14","2.37","2.09"
"28","13.5","12.05","1.94","2.09"
"29","13.95","10.3","2.82","2.82"
